,latitude,longitude,price,beds,bath,square,year,Residential,Condominium
158,50.46628635,-104.62137732330709,69900,4.0,4.0,1671,1924.0,1.0,0.0
159,50.460089800000006,-104.63661455,37500,2.0,1.0,740,1960.0,1.0,0.0
160,50.45735175,-104.65074597692308,164900,3.0,1.0,609,1953.0,1.0,0.0
161,50.4312547,-104.5090665,649900,3.0,3.0,1953,2022.0,1.0,0.0
162,50.44793385,-104.62711087495592,209000,2.0,1.0,798,1953.0,1.0,0.0
163,50.4293912,-104.5205087,525000,3.0,3.0,1811,2022.0,1.0,0.0
164,50.455289,-104.6125437,449900,3.0,2.0,2419,1913.0,0.0,1.0
165,50.4715036,-104.6470231,259900,3.0,2.0,840,1969.0,1.0,0.0
166,50.46631815,-104.62859070278527,69900,2.0,1.0,560,1924.0,1.0,0.0
167,50.49183505,-104.59692229387257,315900,3.0,2.0,1282,1974.0,1.0,0.0
168,50.4337129,-104.5111471,334000,2.0,2.0,1263,2002.0,0.0,1.0
169,50.49784695,-104.61303925598811,389900,4.0,3.0,1262,1979.0,1.0,0.0
170,50.4915231,-104.6855428,429900,3.0,3.0,1504,2022.0,1.0,0.0
171,50.4716282,-104.652126,159900,3.0,1.0,972,1965.0,1.0,0.0
172,50.419523600000005,-104.5303577664653,629000,6.0,4.0,2024,1992.0,1.0,0.0
173,50.4759181,-104.67787107001574,344900,4.0,2.0,960,1976.0,1.0,0.0
174,50.45011305,-104.60086,115000,3.0,1.0,779,1952.0,1.0,0.0
175,50.46016725,-104.62426365607575,59900,2.0,1.0,789,1929.0,1.0,0.0
176,50.4634686,-104.531716902168,349500,4.0,3.0,1044,1988.0,1.0,0.0
177,50.45690125,-104.62284851058048,99900,4.0,2.0,988,1952.0,1.0,0.0
178,50.4560335,-104.6401067,85000,2.0,1.0,840,1912.0,1.0,0.0
179,50.4509466,-104.6535542,219950,2.0,3.0,1087,2013.0,0.0,1.0
180,50.44524285,-104.6380250732687,324900,4.0,3.0,880,1954.0,1.0,0.0
181,50.44855895,-104.5672802274594,299500,3.0,2.0,1060,1974.0,1.0,0.0
182,50.401984,-104.6446087,468500,2.0,2.0,1425,2021.0,0.0,1.0
183,50.46821255,-104.6750635500415,314900,3.0,2.0,1555,1973.0,1.0,0.0
184,50.4406954,-104.6079316,289900,3.0,1.0,929,2018.0,1.0,0.0
185,50.4251715,-104.5127184,376900,3.0,4.0,1596,2017.0,1.0,0.0
186,50.42298555,-104.60247822682066,264900,2.0,2.0,969,1972.0,0.0,1.0
187,50.4733446,-104.60970271244898,159900,2.0,1.0,560,1955.0,1.0,0.0
188,50.478453,-104.6031608890256,269900,4.0,4.0,1407,1945.0,1.0,0.0
189,50.443053500000005,-104.63149316889962,489900,3.0,2.0,2105,1914.0,1.0,0.0
190,50.4952359,-104.6282558,259900,2.0,2.0,1023,2013.0,0.0,1.0
191,50.42861095,-104.62512198301948,499900,3.0,3.0,2296,1946.0,1.0,0.0
192,50.4293207,-104.5251775,415900,3.0,3.0,1484,2022.0,1.0,0.0
193,50.4003744,-104.62697015899916,359900,4.0,3.0,1074,1972.0,1.0,0.0
194,50.4480979,-104.59257440348486,309900,4.0,2.0,924,2010.0,1.0,0.0
195,50.4492739,-104.6282771,169900,2.0,1.0,936,2021.0,1.0,0.0
196,50.4121223,-104.60668624012156,349900,3.0,3.0,1377,1962.0,1.0,0.0
197,50.45484045,-104.6307213771954,69000,4.0,1.0,1010,1920.0,1.0,0.0
198,50.424933,-104.6008825,399900,2.0,2.0,1291,2007.0,0.0,1.0
199,50.467169,-104.6539251,203900,2.0,3.0,1087,2013.0,0.0,1.0
200,50.45861635,-104.59200485,149900,2.0,1.0,753,1947.0,1.0,0.0
201,50.46597275,-104.64926213735288,314900,5.0,3.0,1080,1957.0,1.0,0.0
202,50.45716825,-104.63084435801328,139910,4.0,1.0,1121,1922.0,1.0,0.0
203,50.4553719,-104.5688931,244900,3.0,2.0,803,1964.0,1.0,0.0
204,50.4009113,-104.64551060149648,399900,4.0,2.0,831,2011.0,1.0,0.0
205,50.4337141,-104.63433805,329900,3.0,2.0,1793,1950.0,1.0,0.0
206,50.4131216,-104.6610514,324900,2.0,4.0,1222,2015.0,1.0,0.0
207,50.4436686,-104.61933224161176,147900,1.0,1.0,600,1999.0,0.0,1.0
208,50.4359057,-104.62503695,349900,4.0,3.0,1218,1964.0,1.0,0.0
209,50.4982577,-104.68608455391195,289900,4.0,3.0,1166,1984.0,1.0,0.0
210,50.45904675,-104.63726072878788,179900,3.0,1.0,1000,1946.0,1.0,0.0
211,50.4390256,-104.6047007,799900,3.0,3.0,2207,2015.0,0.0,1.0
212,50.4492164,-104.5405901,94900,2.0,1.0,803,1979.0,0.0,1.0
213,50.43578705,-104.56608148584948,399900,4.0,3.0,1176,1957.0,1.0,0.0
214,50.4144284,-104.6330927627627,449900,4.0,3.0,1299,1971.0,1.0,0.0
215,50.4156833,-104.525386370724,628500,5.0,3.0,1404,2014.0,1.0,0.0
216,50.44106545,-104.5883601,169000,2.0,1.0,818,1911.0,1.0,0.0
217,50.4347654,-104.5796969,519900,5.0,5.0,1905,2014.0,1.0,0.0
218,50.5012131,-104.6901448,364900,3.0,3.0,1327,2022.0,1.0,0.0
219,50.47111725,-104.60380742649252,99900,2.0,1.0,780,1954.0,1.0,0.0
220,50.4269025,-104.5216604,399900,3.0,3.0,1360,2022.0,1.0,0.0
221,50.4293207,-104.5251775,416900,3.0,3.0,1458,2022.0,1.0,0.0
222,50.47162755,-104.64849920124136,79050,2.0,1.0,848,1919.0,1.0,0.0
223,50.4581534,-104.5503168726872,270000,3.0,2.0,1146,1974.0,1.0,0.0
224,50.4636758,-104.6467027,409900,4.0,2.0,1720,2016.0,1.0,0.0
225,50.4092698,-104.59706140125552,499000,3.0,4.0,1780,2003.0,1.0,0.0
226,50.4152789,-104.6494513,439900,3.0,4.0,1406,2011.0,0.0,1.0
227,50.44909265,-104.56455826360197,269900,6.0,2.0,968,1987.0,1.0,0.0
228,50.43705925,-104.53005341175374,575000,4.0,4.0,2041,2004.0,1.0,0.0
229,50.47480945,-104.61402496130704,325000,5.0,2.0,1176,2002.0,1.0,0.0
230,50.44899655,-104.5645575496768,269900,6.0,2.0,968,1987.0,1.0,0.0
231,50.4421642,-104.5403581,259900,2.0,2.0,1023,2013.0,0.0,1.0
232,50.4138286,-104.51640120217336,658000,5.0,3.0,1554,2009.0,1.0,0.0
233,50.48712425,-104.63121057504858,319900,3.0,2.0,995,1977.0,1.0,0.0
234,50.4406954,-104.6079316,289900,3.0,1.0,929,2018.0,1.0,0.0
235,50.4829609,-104.68004655465042,339000,4.0,3.0,1816,1976.0,1.0,0.0
236,50.3979624,-104.6620449757448,439900,3.0,3.0,1519,2022.0,1.0,0.0
237,50.45734225,-104.62216111418152,27900,5.0,2.0,936,1988.0,1.0,0.0
238,50.4540279,-104.55232324127924,369000,3.0,3.0,1759,1971.0,1.0,0.0
239,50.49257455,-104.6719870323208,384900,3.0,2.0,1500,1979.0,1.0,0.0
